I ,j,v
1,1,768
1,2,2953
1,3,92847
1,4,53073
1,5,15772
1,6,61286
1,7,24570.3
1,8,362.401
1,9,25529
1,10,268
2,1,2953
2,2,20063
2,3,367699
2,4,211136
2,5,57277
2,6,213746
2,7,94834.4000000001
2,8,1364.745
2,9,114705
2,10,1304
3,1,92847
3,2,367699
3,3,12008759
3,4,6488664
3,5,1929175
3,6,8345600
3,7,3013157.5
3,8,44928.188
3,9,3162313
3,10,37857
4,1,53073
4,2,211136
4,3,6488664
4,4,3954989
4,5,1139042
4,6,4387354
4,7,1730926.7
4,8,25246.868
4,9,1806013
4,10,18981
5,1,15772
5,2,57277
5,3,1929175
5,4,1139042
5,5,519082
5,6,1874483
5,7,542456.7
5,8,8188.061
5,9,507876
5,10,5940
6,1,61286
6,2,213746
6,3,8345600
6,4,4387354
6,5,1874483
6,6,15077256
6,7,2098584.7
6,8,34339.555
6,9,1993372
6,10,26890
7,1,24570.3
7,2,94834.4000000001
7,3,3013157.5
7,4,1730926.7
7,5,542456.7
7,6,2098584.7
7,7,833743.95
7,8,11875.9417
7,9,819315.9
7,10,9418.2
8,1,362.401
8,2,1364.745
8,3,44928.188
8,4,25246.868
8,5,8188.061
8,6,34339.555
8,7,11875.9417
8,8,255.208659
8,9,12146.832
8,10,147.534
9,1,25529
9,2,114705
9,3,3162313
9,4,1806013
9,5,507876
9,6,1993372
9,7,819315.9
9,8,12146.832
9,9,954685
9,10,9934
10,1,268
10,2,1304
10,3,37857
10,4,18981
10,5,5940
10,6,26890
10,7,9418.2
10,8,147.534
10,9,9934
10,10,268
